,house id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
259,1873100060,97,7.0,10.0,2.0,39.0,,12.0,23.0,4.0
260,8722101360,2,,1.0,,,,,,1.0
261,8644000060,6,,2.0,,,,1.0,3.0,
262,3325069129,0,,,,,,,,
263,1400300055,19,4.0,3.0,2.0,3.0,2.0,2.0,,3.0
264,2123039032,21,4.0,5.0,,4.0,,4.0,3.0,1.0
265,8078560140,143,8.0,29.0,3.0,44.0,1.0,10.0,39.0,9.0
266,3438500192,1,1.0,,,,,,,
267,7974200510,0,,,,,,,,
268,2557000400,11,,2.0,,,,3.0,3.0,3.0
269,7960900060,1,,,,,,,1.0,
270,4054500390,140,5.0,36.0,3.0,53.0,,19.0,22.0,2.0
271,6378500125,18,,,3.0,2.0,2.0,4.0,4.0,3.0
272,1745100140,8,,2.0,,1.0,,3.0,1.0,1.0
273,2976800796,1178,112.0,325.0,41.0,334.0,30.0,104.0,109.0,123.0
274,4235400186,2,,2.0,,,,,,
275,4215100060,250,16.0,76.0,3.0,64.0,1.0,22.0,51.0,17.0
276,9189700045,237,10.0,55.0,1.0,61.0,,35.0,59.0,16.0
277,1126049053,3,,1.0,,,,,2.0,
278,2022069200,187,29.0,54.0,5.0,43.0,1.0,31.0,18.0,6.0
279,9412900055,30,7.0,,9.0,3.0,4.0,4.0,2.0,1.0
280,1722059235,58,6.0,18.0,2.0,9.0,1.0,9.0,7.0,6.0
281,6874200960,248,21.0,77.0,7.0,69.0,9.0,13.0,17.0,35.0
282,7424700045,3,,1.0,,,,1.0,,1.0
283,7202360350,152,6.0,36.0,2.0,52.0,1.0,17.0,33.0,5.0
284,5634500392,85,6.0,20.0,1.0,20.0,1.0,10.0,21.0,6.0
285,1509500060,22,1.0,7.0,1.0,7.0,,5.0,1.0,
286,7214810350,123,3.0,42.0,5.0,26.0,,19.0,25.0,3.0
287,6647200060,334,25.0,42.0,16.0,100.0,9.0,66.0,54.0,22.0
288,9552700140,8,,4.0,,1.0,,,3.0,
289,2200500350,183,15.0,42.0,1.0,42.0,1.0,25.0,47.0,10.0
290,6113400046,27,3.0,12.0,,9.0,,1.0,,2.0
291,6619910140,242,15.0,45.0,9.0,57.0,7.0,28.0,74.0,7.0
292,1115450240,153,12.0,33.0,4.0,35.0,1.0,16.0,32.0,20.0
293,6073240060,17,4.0,3.0,1.0,1.0,,3.0,4.0,1.0
294,9297300045,9,1.0,,,3.0,,1.0,1.0,3.0
295,9510920070,1,,,1.0,,,,,
296,5468730030,55,2.0,28.0,4.0,8.0,,7.0,2.0,4.0
297,8079030390,121,10.0,39.0,,35.0,2.0,14.0,17.0,4.0
298,600000152,30,3.0,5.0,4.0,9.0,,3.0,1.0,5.0
299,1840000030,3,,,,1.0,,1.0,,1.0
300,3225069065,0,,,,,,,,
301,3260800030,435,28.0,121.0,5.0,100.0,4.0,56.0,75.0,46.0
302,2747100024,5,2.0,1.0,,,,1.0,,1.0
303,5104530560,42,5.0,6.0,,10.0,,9.0,7.0,5.0
304,4330600350,23,1.0,1.0,1.0,6.0,1.0,3.0,7.0,3.0
305,5016001535,3,,1.0,,,,1.0,,1.0
306,7280300196,1,,,,,,,1.0,
307,8651520400,38,3.0,14.0,,10.0,,2.0,6.0,3.0
308,7171200445,5,1.0,,,,1.0,,,3.0
309,3204800200,17,4.0,3.0,1.0,1.0,,4.0,3.0,1.0
310,3416600800,19,4.0,4.0,2.0,2.0,2.0,2.0,,3.0
311,7994700030,234,29.0,20.0,16.0,62.0,1.0,51.0,43.0,12.0
